,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,ROOT_2_FamSize,ROOT_2_Freq,ROOT_2_Length,ROOT_2_PFMF,n_morphemes
10629,unisson,0.81,(un)(son),"(0, 2, 0)",14,21122.25,2,78.5714285714285,18,1894.35999999999,3,50,2
10639,untel,1.03,(un)(tel),"(0, 2, 0)",14,21122.25,2,71.4285714285714,3,341.97,3,66.6666666666666,2
10785,vaurien,10,(valoir)(rien),"(0, 2, 0)",16,308.48,6,12.5,2,2391.56,4,50,2
10829,vélomoteur,0.23,(vélo)(moteur),"(0, 2, 0)",2,35.82,4,50,3,37.8,6,33.3333333333333,2
11137,virologie,0.28,(virus)(logue/ie),"(0, 2, 0)",2,24.26,5,50,55,105.27,8,63.6363636363636,2
11387,aborigène,0.31,(abori)(gène),"(0, 2, 0)",1,0.31,5,0,19,41.24,4,68.4210526315789,2
12046,aérodrome,1.92,(aéro)(drome),"(0, 2, 0)",10,53.8,4,30,1,1.92,5,0,2
12047,aérogare,0.11,(aéro)(gare),"(0, 2, 0)",10,53.8,4,90,3,62.11,4,66.6666666666666,2
12048,aéronavale,0.53,(aéro)(navale),"(0, 2, 0)",10,53.8,4,60,1,0.53,6,0,2
12049,aéroplane,0.16,(aéro)(planer),"(0, 2, 0)",10,53.8,4,80,1,0.16,6,0,2
12050,aéroport,31.44,(aéro)(porter),"(0, 2, 0)",10,53.8,4,0,24,892.509999999999,6,25,2
12052,aéroports,1.69,(aéro)(ports),"(0, 2, 0)",10,53.8,4,50,4,17,5,75,2
12285,agoraphobie,0.23,(agora)(phobe/ie),"(0, 2, 0)",1,0.23,5,0,3,2.67,8,66.6666666666666,2
12749,amphétamines,0.86,(amphi)(étamines),"(0, 2, 0)",2,1.32,5,0,1,0.86,8,0,2
12750,amphithéâtre,0.46,(amphi)(théâtre),"(0, 2, 0)",2,1.32,5,50,3,43.51,7,66.6666666666666,2
12909,anthropologie,1.96,(anthrope)(logue/ie),"(0, 2, 0)",6,3.03999999999999,8,0,55,105.27,8,16.3636363636363,2
12912,anthropophages,0.12,(anthrope)(phage),"(0, 2, 0)",6,3.03999999999999,8,33.3333333333333,4,0.75,5,25,2
12998,apostrophe,0.19,(apo)(strophe),"(0, 2, 0)",2,0.19,3,0,3,0.23,7,0,2
13265,archéologie,3.53,(archéo)(logue/ie),"(0, 2, 0)",1,3.53,6,0,55,105.27,8,10.9090909090909,2
13295,aristocrate,3.38999999999999,(aristo)(crate),"(0, 2, 0)",3,5.11,6,0,6,30.3699999999999,5,33.3333333333333,2
13679,astronaute,6.43999999999999,(astre)(naute),"(0, 2, 0)",6,13.5499999999999,5,0,2,8.32,5,0,2
13681,astronomie,0.91,(astre)(nome/ie),"(0, 2, 0)",6,13.5499999999999,5,50,12,44.0899999999999,7,33.3333333333333,2
13927,auprès,30.15,(au)(près),"(0, 2, 0)",5,4634.76999999999,2,20,2,243.81,4,50,2
13935,aussitôt,13.52,(aussi)(tôt),"(0, 2, 0)",2,1415.85,5,50,4,332.05,3,50,2
13939,autobus,4.67,(auto)(boire),"(0, 2, 0)",17,65.37,4,29.4117647058823,17,647.84,5,29.4117647058823,2
13940,autocar,2.33,(auto)(car),"(0, 2, 0)",17,65.37,4,35.2941176470588,3,255.79,3,33.3333333333333,2
13942,autocritique,0.16,(auto)(critique),"(0, 2, 0)",17,65.37,4,70.5882352941176,3,31.53,8,66.6666666666666,2
13943,autodéfense,1.74,(auto)(défense),"(0, 2, 0)",17,65.37,4,47.0588235294117,2,52.68,7,50,2
13946,autographe,8.67,(auto)(graphe/ie),"(0, 2, 0)",17,65.37,4,11.7647058823529,35,67.24,9,2.85714285714285,2
13956,automobile,5.97,(auto)(mobile),"(0, 2, 0)",17,65.37,4,17.6470588235294,12,37.5999999999999,6,16.6666666666666,2
13973,autoroute,14.76,(auto)(route),"(0, 2, 0)",17,65.37,4,5.88235294117647,7,191.15,5,14.2857142857142,2
13977,autrefois,26.89,(autre)(fois),"(0, 2, 0)",3,1583.89,5,66.6666666666666,4,943.38,4,25,2
14311,baromètre,0.56,(baro)(mètre),"(0, 2, 0)",1,0.56,4,0,16,98.51,5,75,2
14540,bibliothèque,19.8499999999999,(biblio)(thèque),"(0, 2, 0)",3,24.72,6,0,3,23.06,6,0,2
14561,bienfait,2.51,(bien)(faire),"(0, 2, 0)",11,4593.32,4,45.4545454545454,19,9338.35999999999,5,36.8421052631578,2
14565,bienheureuse,3.46999999999999,(bien)(heureux),"(0, 2, 0)",11,4593.32,4,27.2727272727272,5,443.87,7,80,2
14567,bienséance,0.57,(bien)(séance),"(0, 2, 0)",11,4593.32,4,90.9090909090909,2,23.49,6,50,2
14568,bientôt,184.96,(bien)(tôt),"(0, 2, 0)",11,4593.32,4,9.09090909090909,4,332.05,3,0,2
14572,bienvenu,38.27,(bien)(venir),"(0, 2, 0)",11,4593.32,4,18.1818181818181,18,3610.1,5,16.6666666666666,2
14590,biochimie,0.63,(bio)(chimie),"(0, 2, 0)",7,22.72,3,71.4285714285714,9,22.71,6,66.6666666666666,2
14592,biographie,2.82,(bio)(graphe/ie),"(0, 2, 0)",7,22.72,3,57.1428571428571,35,67.24,9,14.2857142857142,2
14594,biologie,4.13,(bio)(logue/ie),"(0, 2, 0)",7,22.72,3,28.5714285714285,55,105.27,8,9.09090909090909,2
14749,bonhomme,14.94,(bon)(homme),"(0, 2, 0)",10,3071.74,3,40,5,1146.27,5,20,2
14753,bonjour,569.88,(bon)(jour),"(0, 2, 0)",10,3071.74,3,10,6,2880.74,4,33.3333333333333,2
14756,bonsoir,161.17,(bon)(soir),"(0, 2, 0)",10,3071.74,3,20,3,839.26,4,33.3333333333333,2
15347,cacophonie,0.04,(caco)(phone/ie),"(0, 2, 0)",2,0.04,4,0,15,238.13,8,73.3333333333333,2
15407,calligraphie,1.09,(calli)(graphe/ie),"(0, 2, 0)",2,1.11,5,0,35,67.24,9,31.4285714285714,2
15443,caméscope,0.78,(caméra)(scope/ie),"(0, 2, 0)",3,60.05,6,66.6666666666666,11,10.77,8,36.3636363636363,2
15573,cartographe,0.11,(carte)(graphe/ie),"(0, 2, 0)",4,148.97,5,50,35,67.24,9,68.5714285714285,2
15715,centimètre,6.81,(cent)(mètre),"(0, 2, 0)",8,104.1,4,37.5,16,98.51,5,12.5,2
15722,centrifuge,0.25,(centre)(fuge),"(0, 2, 0)",9,96.55,6,55.5555555555555,3,0.47,4,0,2
16086,chèvrefeuille,0.11,(chèvre)(feuille),"(0, 2, 0)",7,16.87,6,71.4285714285714,11,55.45,7,72.7272727272727,2
16119,chimiothérapie,1.05,(chimie)(thérapie),"(0, 2, 0)",9,22.71,6,44.4444444444444,7,20.09,8,42.8571428571428,2
16146,chloroforme,0.64,(chlore)(forme),"(0, 2, 0)",4,1.45,6,25,29,262.78,5,72.4137931034482,2
16182,chorégraphie,0.99,(choréo)(graphe/ie),"(0, 2, 0)",2,0.99,6,0,35,67.24,9,34.2857142857142,2
16203,chronologie,0.49,(chrono)(logue/ie),"(0, 2, 0)",8,10.4699999999999,6,62.5,55,105.27,8,54.5454545454545,2
16205,chronomètre,1.43,(chrono)(mètre),"(0, 2, 0)",8,10.4699999999999,6,25,16,98.51,5,37.5,2
16234,cinéphile,0.19,(cinéma)(philo),"(0, 2, 0)",4,66.9799999999999,6,75,8,22.94,5,62.5,2
16300,clairsemés,0.27,(clair)(semer),"(0, 2, 0)",16,213.31,5,75,3,17.95,5,66.6666666666666,2
16302,clairvoyant,0.53,(clair)(voir),"(0, 2, 0)",16,213.31,5,68.75,28,3534.49,4,82.1428571428571,2
16343,claustrophobe,1.01,(claustro)(phobe/ie),"(0, 2, 0)",1,1.01,8,0,3,2.67,8,33.3333333333333,2
17685,cosmétologie,0.07,(cosmétique)(logue/ie),"(0, 2, 0)",1,0.07,10,0,55,105.27,8,78.1818181818181,2
18315,cyclomoteur,0.23,(cycle)(moteur),"(0, 2, 0)",11,20.04,5,63.6363636363636,3,37.8,6,33.3333333333333,2
19165,démagogie,0.61,(déma)(gogue),"(0, 2, 0)",1,0.61,4,0,3,2.51,5,66.6666666666666,2
19295,démocrate,19.88,(démo)(crate),"(0, 2, 0)",4,25.4199999999999,4,0,6,30.3699999999999,5,0,2
19303,démographie,0.16,(démo)(graphe/ie),"(0, 2, 0)",4,25.4199999999999,4,50,35,67.24,9,65.7142857142857,2
19816,desquelles,1.60999999999999,(des)(quel),"(0, 2, 0)",2,6057.32,3,50,7,1449.91,4,85.7142857142857,2
20317,discothèque,1.12,(disco)(thèque),"(0, 2, 0)",2,4.67,5,50,3,23.06,6,66.6666666666666,2
21071,économe,18,(éco)(nome/ie),"(0, 2, 0)",4,37.1999999999999,3,0,12,44.0899999999999,7,0,2
21090,écosphère,0.01,(éco)(sphère),"(0, 2, 0)",4,37.1999999999999,3,75,6,19.69,6,83.3333333333333,2
21404,électrochoc,3.13999999999999,(électr)(choc),"(0, 2, 0)",8,53.5799999999999,6,25,6,52.77,4,33.3333333333333,2
21411,électrophone,0.28,(électr)(phone/ie),"(0, 2, 0)",8,53.5799999999999,6,87.5,15,238.13,8,66.6666666666666,2
22866,équidistant,0.14,(équi)(distant),"(0, 2, 0)",5,6.68999999999999,4,60,3,35.79,7,66.6666666666666,2
22867,équilatéral,0.04,(équi)(latéral),"(0, 2, 0)",5,6.68999999999999,4,80,5,2.91,7,80,2
22889,équivalait,4.85,(équi)(valoir),"(0, 2, 0)",5,6.68999999999999,4,0,16,308.48,6,31.25,2
22892,équivoque,1.18,(équi)(voque),"(0, 2, 0)",5,6.68999999999999,4,20,1,1.18,5,0,2
22893,équivoques,0.48,(équi)(voques),"(0, 2, 0)",5,6.68999999999999,4,40,1,0.48,6,0,2
23157,ethnologue,0.14,(ethnie)(logue/ie),"(0, 2, 0)",4,1.59,6,25,55,105.27,8,70.9090909090909,2
23851,fainéant,4.89,(faire)(néant),"(0, 2, 0)",19,9338.35999999999,5,21.0526315789473,4,22.98,5,50,2
24212,filiforme,0.03,(fil)(forme),"(0, 2, 0)",16,148.79,3,81.25,29,262.78,5,86.2068965517241,2
25244,généalogie,0.28,(gène)(logue/ie),"(0, 2, 0)",19,41.24,4,78.9473684210526,55,105.27,8,63.6363636363636,2
25285,gentilhomme,6.89999999999999,(gentil)(homme),"(0, 2, 0)",4,228.41,6,75,5,1146.27,5,40,2
25295,géomètre,6.21,(géo)(mètre),"(0, 2, 0)",6,11.27,3,0,16,98.51,5,25,2
25512,gramophone,1.13,(gramo)(phone/ie),"(0, 2, 0)",1,1.13,5,0,15,238.13,8,46.6666666666666,2
25800,gynécologue,1.38,(gynéco)(logue/ie),"(0, 2, 0)",2,2.34,6,0,55,105.27,8,32.7272727272727,2
25801,gyrophare,0.56,(gyro)(phare),"(0, 2, 0)",1,0.56,4,0,2,12.43,5,50,2
25974,hautbois,0.38,(haut)(boire),"(0, 2, 0)",6,207.06,4,66.6666666666666,17,647.84,5,58.8235294117647,2
25989,hélicoptère,13.96,(hélice)(ptère),"(0, 2, 0)",2,16.79,6,0,1,13.96,5,0,2
25994,hémorragie,8.39,(hémo)(rragie),"(0, 2, 0)",2,9.85,4,0,1,8.39,6,0,2
26073,hiéroglyphes,1.05,(hiéro)(glyphes),"(0, 2, 0)",1,1.05,5,0,1,1.05,7,0,2
26106,homogène,0.4,(homo)(gène),"(0, 2, 0)",6,38.08,4,66.6666666666666,19,41.24,4,47.3684210526315,2
26210,hydravion,0.43,(hydro)(avion),"(0, 2, 0)",5,4.37,5,60,4,114.05,5,75,2
26211,hydrogène,1.75,(hydro)(gène),"(0, 2, 0)",5,4.37,5,0,19,41.24,4,21.0526315789473,2
26232,iconoclaste,0.1,(icône)(claste),"(0, 2, 0)",2,1.9,5,50,1,0.1,6,0,2
26254,idéologie,2.59,(idée)(logue/ie),"(0, 2, 0)",7,430.179999999999,4,28.5714285714285,55,105.27,8,12.7272727272727,2
28036,kaléidoscope,0.18,(kaléido)(scope/ie),"(0, 2, 0)",1,0.18,7,0,11,10.77,8,54.5454545454545,2
28044,kilomètre,24.8,(kilo)(mètre),"(0, 2, 0)",2,47.34,4,0,16,98.51,5,6.25,2
28284,lesquelles,22.18,(les)(quel),"(0, 2, 0)",2,9983.31,3,50,7,1449.91,4,42.8571428571428,2
28390,liposucer,0.2,(lipide)(sucer),"(0, 2, 0)",2,0.21,6,0,4,21.4699999999999,5,75,2
28505,longtemps,290.36,(long)(temps),"(0, 2, 0)",13,547.88,4,0,11,1340.11,5,9.09090909090909,2
28624,mademoiselle,73.98,(ma)(demoiselle),"(0, 2, 0)",3,2670.39,2,66.6666666666666,3,97.21,10,0,2
28641,magnétophone,2.27,(magnéto)(phone/ie),"(0, 2, 0)",6,14.2,7,33.3333333333333,15,238.13,8,20,2
28642,magnétoscope,1.98,(magnéto)(scope/ie),"(0, 2, 0)",6,14.2,7,50,11,10.77,8,18.1818181818181,2
28660,mainmise,0.14,(main)(mise),"(0, 2, 0)",12,530.92,4,83.3333333333333,5,102.22,4,80,2
28704,maladresse,1.02,(mal)(adresse),"(0, 2, 0)",36,1119.62999999999,3,55.5555555555555,3,103.119999999999,7,66.6666666666666,2
28706,maladroit,9.45999999999999,(mal)(adroit),"(0, 2, 0)",36,1119.62999999999,3,19.4444444444444,3,10.5799999999999,6,0,2
28714,malappris,0.17,(mal)(apprendre),"(0, 2, 0)",36,1119.62999999999,3,80.5555555555555,5,352.949999999999,9,80,2
28715,malchance,5.68,(mal)(chance),"(0, 2, 0)",36,1119.62999999999,3,27.7777777777777,4,380.43,6,50,2
28717,maldonne,0.14,(mal)(don),"(0, 2, 0)",36,1119.62999999999,3,83.3333333333333,7,1324.87,3,85.7142857142857,2
28718,malentendu,11.8299999999999,(mal)(entendre/te),"(0, 2, 0)",36,1119.62999999999,3,16.6666666666666,4,794.78,11,25,2
28724,malhabile,0.14,(mal)(habile),"(0, 2, 0)",36,1119.62999999999,3,83.3333333333333,6,11.0199999999999,6,83.3333333333333,2
